HomeTeam,AwayTeam,HxG,AxG
Leicester,Norwich,1.06421,1.16408
Liverpool,Watford,1.56674,1.01166
Sheffield United,Aston Villa,1.888,0.97258
Southampton,West Ham,0.805884,0.90324
Arsenal,Man City,0.28161,1.69553
Man United,Everton,1.48327,0.276759
Wolves,Tottenham,0.718669,0.989205
Crystal Palace,Brighton,0.484859,2.48355
Aston Villa,Southampton,0.921054,2.63444
Bournemouth,Burnley,0.138532,0.144318
Brighton,Sheffield United,0.428371,1.65933
Everton,Arsenal,0.486523,0.881818
Man City,Leicester,3.59139,1.01388
Newcastle,Crystal Palace,0.714368,0.985368
Norwich,Wolves,1.26536,1.65224
Tottenham,Chelsea,0.276667,1.49374
Watford,Man United,1.59291,1.5309
Aston Villa,Norwich,0.654194,1.45005
Bournemouth,Arsenal,1.55463,1.42464
Chelsea,Southampton,0.859973,0.981321
Crystal Palace,West Ham,2.14195,0.796338
Everton,Burnley,1.47521,0.565252
Leicester,Liverpool,0.120994,3.76973
Man United,Newcastle,1.99638,1.05018
Sheffield United,Watford,2.04481,0.596611
Tottenham,Brighton,1.02645,1.09007
Wolves,Man City,2.39405,1.52044
Brighton,Bournemouth,1.05876,0.500726
Burnley,Man United,0.386662,2.10542
Newcastle,Everton,1.63211,2.82576
Norwich,Tottenham,0.268052,1.82189
Southampton,Crystal Palace,1.47937,0.137837
Watford,Aston Villa,3.25314,0.610997
West Ham,Leicester,0.782104,2.62349
Arsenal,Chelsea,0.785214,1.49666
Liverpool,Wolves,1.49124,0.363764
Man City,Sheffield United,1.08628,1.23346
Arsenal,Man United,1.90747,0.715563
Brighton,Chelsea,1.56978,1.57497
Burnley,Aston Villa,2.34418,1.74824
Man City,Everton,1.79757,0.848942
Newcastle,Leicester,0.780118,2.43642
Norwich,Crystal Palace,1.66454,1.29896
Southampton,Tottenham,1.51192,1.078
Watford,Wolves,1.07053,1.23252
West Ham,Bournemouth,2.32825,0.720709
Liverpool,Sheffield United,3.0465,0.634607
Sheffield United,West Ham,2.02768,0.90477
Chelsea,Burnley,2.87633,0.717407
Crystal Palace,Arsenal,0.317862,1.43924
Everton,Brighton,2.02533,1.53324
Leicester,Southampton,0.780114,2.40601
Man United,Norwich,3.13456,0.275987
Tottenham,Liverpool,1.10584,1.74564
Wolves,Newcastle,2.04805,0.184495
Aston Villa,Man City,1.12565,3.75131
Bournemouth,Watford,0.320447,2.29827
Arsenal,Sheffield United,1.22882,1.18444
Brighton,Aston Villa,1.30028,1.02045
Man City,Crystal Palace,2.47314,0.586716
Newcastle,Chelsea,0.892988,2.05436
Norwich,Bournemouth,1.76046,0.558298
Southampton,Wolves,0.786974,2.1772
Watford,Tottenham,2.39174,1.76697
West Ham,Everton,1.68436,1.95473
Burnley,Leicester,1.50886,2.33415
Liverpool,Man United,2.00655,1.4185
Aston Villa,Watford,1.06739,1.81101
Bournemouth,Brighton,1.92315,1.97227
Chelsea,Arsenal,3.38612,0.568077
Crystal Palace,Southampton,0.674589,1.1306
Everton,Newcastle,2.05254,0.570931
Sheffield United,Man City,0.774943,2.873
Leicester,West Ham,2.91302,1.16254
Man United,Burnley,1.416,0.717284
Tottenham,Norwich,2.22282,1.42472
Wolves,Liverpool,1.85442,1.59024
West Ham,Liverpool,0.878341,2.59926
Bournemouth,Aston Villa,2.72236,1.40955
Crystal Palace,Sheffield United,0.970063,0.860755
Leicester,Chelsea,1.65956,0.806995
Liverpool,Southampton,3.7195,0.716298
Man United,Wolves,1.18608,1.54211
Newcastle,Norwich,0.937293,2.39985
Watford,Everton,0.919248,2.70178
West Ham,Brighton,1.30774,2.03179
Burnley,Arsenal,2.24562,1.48025
Tottenham,Man City,0.420293,3.25139
Brighton,Watford,0.76201,0.280048
Everton,Crystal Palace,2.79103,0.865323
Sheffield United,Bournemouth,2.04467,1.07183
Wolves,Leicester,1.14491,0.527366
Norwich,Liverpool,0.383495,2.07331
Southampton,Burnley,0.694025,0.892699
Arsenal,Newcastle,3.02257,1.16662
Aston Villa,Tottenham,1.71313,3.86024
Chelsea,Man United,0.940204,0.681814
Man City,West Ham,2.13777,0.0895892
Burnley,Bournemouth,3.09935,1.75718
Chelsea,Tottenham,1.78193,0.265879
Crystal Palace,Newcastle,1.75552,0.164495
Leicester,Man City,0.723269,2.42749
Sheffield United,Brighton,1.6597,1.06035
Southampton,Aston Villa,3.02926,0.47235
Arsenal,Everton,1.33567,2.65691
Man United,Watford,2.5042,0.294956
Wolves,Norwich,3.25033,0.360646
Liverpool,West Ham,2.48209,0.638236
Norwich,Leicester,0.591716,1.42581
Bournemouth,Chelsea,1.58495,1.98271
Brighton,Crystal Palace,1.78712,2.17159
Newcastle,Burnley,1.11713,0.617612
Watford,Liverpool,2.71351,0.206031
West Ham,Southampton,2.78682,0.868573
Everton,Man United,2.41259,1.12561
Tottenham,Wolves,1.63079,2.62251
Arsenal,West Ham,1.55974,1.61615
Burnley,Tottenham,3.33302,1.13669
Crystal Palace,Watford,0.856107,0.449161
Liverpool,Bournemouth,1.89453,1.29544
Sheffield United,Norwich,1.17263,2.55449
Southampton,Newcastle,0.348871,3.06384
Wolves,Brighton,0.898221,0.308874
Chelsea,Everton,2.02883,0.445922
Man United,Man City,1.7389,0.585469
Leicester,Aston Villa,2.41239,0.672448
Aston Villa,Sheffield United,1.00877,0.235909
Man City,Arsenal,2.73725,0.496759
Norwich,Southampton,0.654932,1.87099
Tottenham,Man United,0.534852,1.77307
Bournemouth,Crystal Palace,0.363637,0.788453
Brighton,Arsenal,0.670973,0.69627
Watford,Leicester,1.00765,1.05245
West Ham,Wolves,0.44207,1.06433
Aston Villa,Chelsea,1.57223,1.14011
Everton,Liverpool,0.621456,0.659123
Newcastle,Sheffield United,2.15148,0.57107
Man City,Burnley,2.71096,0.0303408
Leicester,Brighton,0.505486,1.10227
Tottenham,West Ham,2.24125,0.83104
Liverpool,Crystal Palace,2.56729,0.0645285
Man United,Sheffield United,2.8416,0.108082
Newcastle,Aston Villa,0.661808,1.22985
Norwich,Everton,0.382813,0.654912
Wolves,Bournemouth,0.715002,0.0619009
Burnley,Watford,0.964774,0.495542
Chelsea,Man City,4.206,0.690594
Southampton,Arsenal,0.738305,2.18595
Aston Villa,Wolves,0.403418,0.703549
Watford,Southampton,0.365347,1.3364
Crystal Palace,Burnley,1.06533,0.359906
Brighton,Man United,0.31013,1.20903
Arsenal,Norwich,1.76496,0.153871
Bournemouth,Newcastle,1.27503,2.23457
Everton,Leicester,1.17592,1.80384
West Ham,Chelsea,2.10497,1.57609
Man City,Liverpool,2.65433,0.819606
Sheffield United,Tottenham,1.59994,1.01524
Chelsea,Watford,2.78877,0.608971
Leicester,Crystal Palace,2.20683,0.507537
Man United,Bournemouth,2.63259,1.52161
Norwich,Brighton,0.545069,0.903046
Wolves,Arsenal,0.985166,1.28273
Burnley,Sheffield United,1.31966,1.63343
Liverpool,Aston Villa,1.0837,0.689775
Newcastle,West Ham,1.49121,2.03065
Southampton,Man City,0.628765,3.39575
Tottenham,Everton,0.511828,0.403762
Arsenal,Leicester,1.29023,1.00238
Crystal Palace,Chelsea,1.2882,2.65753
Watford,Norwich,0.725199,1.13378
Brighton,Liverpool,2.3646,2.61624
Man City,Newcastle,3.28662,0.21643
Sheffield United,Wolves,0.470483,0.326909
West Ham,Burnley,1.99821,1.05291
Aston Villa,Man United,0.598873,2.86531
Bournemouth,Tottenham,0.960349,0.479274
Everton,Southampton,0.671442,2.29684
Brighton,Man City,0.149588,5.51767
Liverpool,Burnley,2.17649,0.452331
Norwich,West Ham,0.613251,3.81088
Sheffield United,Chelsea,2.00632,1.17509
Watford,Newcastle,3.12855,1.49134
Aston Villa,Crystal Palace,1.6977,0.974181
Bournemouth,Leicester,2.54311,1.66084
Tottenham,Arsenal,1.81846,0.68991
Wolves,Everton,2.86724,0.286561
Man United,Southampton,1.5033,1.8051
Chelsea,Norwich,3.05119,0.0631109
Arsenal,Liverpool,1.31516,2.2233
Burnley,Wolves,1.53435,1.2857
Man City,Bournemouth,0.82755,1.66635
Newcastle,Tottenham,1.05748,1.7498
Crystal Palace,Man United,0.572141,1.90448
Everton,Aston Villa,0.944434,1.52021
Leicester,Sheffield United,3.05752,0.660214
Southampton,Brighton,2.33745,0.67264
West Ham,Watford,0.833995,1.03402
Norwich,Burnley,0.576602,1.8233
Bournemouth,Southampton,0.583117,2.24527
Tottenham,Leicester,0.766922,1.20085
Brighton,Newcastle,0.855896,0.929091
Sheffield United,Everton,0.468461,0.624814
Wolves,Crystal Palace,1.48696,0.440119
Aston Villa,Arsenal,0.57408,0.737137
Watford,Man City,0.131868,3.73814
Liverpool,Chelsea,1.45179,2.38205
Man United,West Ham,0.984161,1.29009
Arsenal,Watford,1.95282,3.9197
Burnley,Brighton,1.44244,1.3696
Chelsea,Wolves,1.15938,0.164561
Crystal Palace,Tottenham,0.988534,0.310302
Everton,Bournemouth,1.74699,1.46461
Leicester,Man United,0.754668,1.41019
Man City,Norwich,3.56749,0.786563
Newcastle,Liverpool,0.339294,0.56818
Southampton,Sheffield United,1.64306,1.41051
West Ham,Aston Villa,0.781465,0.983594
